GENESIS-Tabelle: 12711-0002
Gesamtwanderungen über die Grenzen der Bundesländer: Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;
Deutschland;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
;;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo;Wanderungssaldo
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;unter 1 Jahr;1054;961;2015;480;445;925;1534;1406;2940
2000;1-Jährige;555;660;1215;263;155;418;818;815;1633
2000;2-Jährige;640;658;1298;-84;-81;-165;556;577;1133
2000;3-Jährige;519;528;1047;-347;-314;-661;172;214;386
2000;4-Jährige;497;484;981;-421;-282;-703;76;202;278
2000;5-Jährige;598;510;1108;-261;-301;-562;337;209;546
2000;6-Jährige;475;541;1016;-546;-339;-885;-71;202;131
2000;7-Jährige;495;402;897;-419;-413;-832;76;-11;65
2000;8-Jährige;674;733;1407;-179;-169;-348;495;564;1059
2000;9-Jährige;715;653;1368;-157;37;-120;558;690;1248
2000;10-Jährige;828;771;1599;-85;5;-80;743;776;1519
2000;11-Jährige;775;851;1626;157;111;268;932;962;1894
2000;12-Jährige;959;868;1827;229;102;331;1188;970;2158
2000;13-Jährige;1025;1045;2070;276;250;526;1301;1295;2596
2000;14-Jährige;1017;1033;2050;392;237;629;1409;1270;2679
2000;15-Jährige;977;1009;1986;743;604;1347;1720;1613;3333
2000;16-Jährige;974;980;1954;1558;936;2494;2532;1916;4448
2000;17-Jährige;878;954;1832;1762;1398;3160;2640;2352;4992
2000;18-Jährige;1324;1213;2537;1115;2928;4043;2439;4141;6580
2000;19-Jährige;1356;1207;2563;2090;5940;8030;3446;7147;10593
2000;20-Jährige;1423;1052;2475;3699;7252;10951;5122;8304;13426
2000;21-Jährige;1261;893;2154;3096;6361;9457;4357;7254;11611
2000;22-Jährige;1155;784;1939;4122;6687;10809;5277;7471;12748
2000;23-Jährige;903;685;1588;4424;6038;10462;5327;6723;12050
2000;24-Jährige;1036;660;1696;3975;5236;9211;5011;5896;10907
2000;25-Jährige;922;396;1318;3242;4160;7402;4164;4556;8720
2000;26-Jährige;624;273;897;2410;3109;5519;3034;3382;6416
2000;27-Jährige;585;300;885;1582;2863;4445;2167;3163;5330
2000;28-Jährige;412;118;530;1304;2380;3684;1716;2498;4214
2000;29-Jährige;311;10;321;973;2007;2980;1284;2017;3301
2000;30-Jährige;195;0;195;301;1792;2093;496;1792;2288
2000;31-Jährige;151;32;183;103;1143;1246;254;1175;1429
2000;32-Jährige;67;5;72;-296;1003;707;-229;1008;779
2000;33-Jährige;125;180;305;-485;741;256;-360;921;561
2000;34-Jährige;286;220;506;-591;651;60;-305;871;566
2000;35-Jährige;327;195;522;-591;561;-30;-264;756;492
2000;36-Jährige;490;318;808;-696;604;-92;-206;922;716
2000;37-Jährige;538;464;1002;-765;420;-345;-227;884;657
2000;38-Jährige;637;511;1148;-678;406;-272;-41;917;876
2000;39-Jährige;690;499;1189;-577;470;-107;113;969;1082
2000;40-Jährige;708;722;1430;-705;504;-201;3;1226;1229
2000;41-Jährige;790;683;1473;-453;355;-98;337;1038;1375
2000;42-Jährige;699;728;1427;-528;383;-145;171;1111;1282
2000;43-Jährige;720;664;1384;-281;345;64;439;1009;1448
2000;44-Jährige;670;656;1326;-562;322;-240;108;978;1086
2000;45-Jährige;762;703;1465;-399;250;-149;363;953;1316
2000;46-Jährige;622;700;1322;-292;244;-48;330;944;1274
2000;47-Jährige;579;588;1167;-288;198;-90;291;786;1077
2000;48-Jährige;605;621;1226;-233;194;-39;372;815;1187
2000;49-Jährige;533;658;1191;-257;285;28;276;943;1219
2000;50-Jährige;587;583;1170;-374;268;-106;213;851;1064
2000;51-Jährige;579;447;1026;-465;156;-309;114;603;717
2000;52-Jährige;412;365;777;-304;115;-189;108;480;588
2000;53-Jährige;327;364;691;-323;132;-191;4;496;500
2000;54-Jährige;220;224;444;-332;50;-282;-112;274;162
2000;55-Jährige;153;81;234;-305;46;-259;-152;127;-25
2000;56-Jährige;100;88;188;-293;-86;-379;-193;2;-191
2000;57-Jährige;204;133;337;-282;-109;-391;-78;24;-54
2000;58-Jährige;248;222;470;-353;-48;-401;-105;174;69
2000;59-Jährige;281;401;682;-194;28;-166;87;429;516
2000;60-Jährige;313;358;671;-639;-246;-885;-326;112;-214
2000;61-Jährige;337;412;749;-561;-182;-743;-224;230;6
2000;62-Jährige;317;408;725;-365;-142;-507;-48;266;218
2000;63-Jährige;344;503;847;-448;-61;-509;-104;442;338
2000;64-Jährige;290;385;675;-453;-134;-587;-163;251;88
2000;65-Jährige;366;291;657;-589;-84;-673;-223;207;-16
2000;66-Jährige;187;212;399;-427;-119;-546;-240;93;-147
2000;67-Jährige;155;232;387;-380;-118;-498;-225;114;-111
2000;68-Jährige;164;235;399;-251;-13;-264;-87;222;135
2000;69-Jährige;178;207;385;-196;-77;-273;-18;130;112
2000;70-Jährige;165;242;407;-204;-74;-278;-39;168;129
2000;71-Jährige;198;247;445;-84;-9;-93;114;238;352
2000;72-Jährige;146;251;397;-79;-51;-130;67;200;267
2000;73-Jährige;145;206;351;-47;-11;-58;98;195;293
2000;74-Jährige;113;222;335;-27;-21;-48;86;201;287
2000;75-Jährige;106;186;292;-43;-9;-52;63;177;240
2000;76-Jährige;66;158;224;-4;48;44;62;206;268
2000;77-Jährige;74;138;212;-30;27;-3;44;165;209
2000;78-Jährige;36;56;92;-6;-9;-15;30;47;77
2000;79-Jährige;15;40;55;-7;7;0;8;47;55
2000;80-Jährige;15;67;82;-15;-32;-47;0;35;35
2000;81-Jährige;24;58;82;-1;31;30;23;89;112
2000;82-Jährige;15;61;76;-16;29;13;-1;90;89
2000;83-Jährige;6;10;16;7;11;18;13;21;34
2000;84-Jährige;10;27;37;3;3;6;13;30;43
2000;85-Jährige;6;1;7;0;-1;-1;6;0;6
2000;86-Jährige;4;31;35;-5;-2;-7;-1;29;28
2000;87-Jährige;-4;19;15;-11;-6;-17;-15;13;-2
2000;88-Jährige;-15;18;3;-2;3;1;-17;21;4
2000;89-Jährige;2;11;13;1;-7;-6;3;4;7
2000;90-Jährige;-2;1;-1;-16;-37;-53;-18;-36;-54
2000;91-Jährige;1;3;4;-12;-11;-23;-11;-8;-19
2000;92-Jährige;1;3;4;-2;2;0;-1;5;4
2000;93-Jährige;0;10;10;2;2;4;2;12;14
2000;94-Jährige;0;6;6;-1;0;-1;-1;6;5
2000;95 Jahre und mehr;5;8;13;-1;-3;-4;4;5;9
2000;Insgesamt;42051;38610;80661;18985;67469;86454;61036;106079;167115
2001;unter 1 Jahr;1094;914;2008;1026;941;1967;2120;1855;3975
2001;1-Jährige;1014;960;1974;1439;1054;2493;2453;2014;4467
2001;2-Jährige;766;641;1407;1042;899;1941;1808;1540;3348
2001;3-Jährige;664;630;1294;801;676;1477;1465;1306;2771
2001;4-Jährige;615;604;1219;754;636;1390;1369;1240;2609
2001;5-Jährige;531;585;1116;747;734;1481;1278;1319;2597
2001;6-Jährige;459;529;988;606;539;1145;1065;1068;2133
2001;7-Jährige;514;544;1058;580;496;1076;1094;1040;2134
2001;8-Jährige;741;660;1401;737;690;1427;1478;1350;2828
2001;9-Jährige;737;723;1460;755;819;1574;1492;1542;3034
2001;10-Jährige;778;744;1522;823;723;1546;1601;1467;3068
2001;11-Jährige;918;802;1720;805;795;1600;1723;1597;3320
2001;12-Jährige;912;953;1865;923;827;1750;1835;1780;3615
2001;13-Jährige;1002;951;1953;966;837;1803;1968;1788;3756
2001;14-Jährige;1026;1028;2054;1107;966;2073;2133;1994;4127
2001;15-Jährige;1055;1042;2097;1490;1091;2581;2545;2133;4678
2001;16-Jährige;1035;1046;2081;2973;1621;4594;4008;2667;6675
2001;17-Jährige;953;1117;2070;3120;1836;4956;4073;2953;7026
2001;18-Jährige;1382;1284;2666;2934;3414;6348;4316;4698;9014
2001;19-Jährige;1503;1381;2884;4528;7006;11534;6031;8387;14418
2001;20-Jährige;1265;1165;2430;5653;8196;13849;6918;9361;16279
2001;21-Jährige;1205;996;2201;5832;7793;13625;7037;8789;15826
2001;22-Jährige;1098;711;1809;6974;8111;15085;8072;8822;16894
2001;23-Jährige;855;725;1580;7448;7653;15101;8303;8378;16681
2001;24-Jährige;894;595;1489;6932;6689;13621;7826;7284;15110
2001;25-Jährige;866;425;1291;6077;5462;11539;6943;5887;12830
2001;26-Jährige;705;432;1137;5305;4538;9843;6010;4970;10980
2001;27-Jährige;516;292;808;4465;4209;8674;4981;4501;9482
2001;28-Jährige;457;175;632;3620;3392;7012;4077;3567;7644
2001;29-Jährige;367;188;555;2894;3177;6071;3261;3365;6626
2001;30-Jährige;164;66;230;1938;2782;4720;2102;2848;4950
2001;31-Jährige;163;100;263;2029;2437;4466;2192;2537;4729
